binary,bins,shape,algo,gibps_median,exit_ok,direct_ran,runs
even,65536,concentrated:0.0,default,2695.59,1,0,2695.6;2694.5;2697.1
even,65536,hash_synonym,default,988.54,1,0,988.5;988.5;988.7
even,65536,powerlaw:0.5,default,805.32,1,0,805.3;805.3;805.6
even,65536,stale_resident,default,548.28,1,0,548.5;548.3;548.3
even,65536,concentrated:0.0,hybrid,2695.02,1,0,2694.0;2695.0;2701.4
even,65536,hash_synonym,hybrid,989.25,1,0,989.3;989.4;989.0
even,65536,powerlaw:0.5,hybrid,805.98,1,0,806.3;806.0;805.6
even,65536,stale_resident,hybrid,548.33,1,0,548.4;548.2;548.3
even,65536,concentrated:0.0,direct_cuckoo,1927.71,1,1,1926.7;1928.3;1927.7
even,65536,hash_synonym,direct_cuckoo,747.62,1,1,747.4;747.8;747.6
even,65536,powerlaw:0.5,direct_cuckoo,573.99,1,1,574.2;573.9;574.0
even,65536,stale_resident,direct_cuckoo,473.28,1,1,473.9;473.3;473.3
even,65536,concentrated:0.0,direct_single_probe,1923.62,1,1,1923.6;1923.0;1924.8
even,65536,hash_synonym,direct_single_probe,765.19,1,1,765.2;765.0;765.2
even,65536,powerlaw:0.5,direct_single_probe,590.86,1,1,591.0;590.9;590.9
even,65536,stale_resident,direct_single_probe,492.43,1,1,492.5;492.0;492.4
even,65536,concentrated:0.0,gmem_priv_gather,1639.10,1,1,1638.1;1639.1;1639.1
even,65536,hash_synonym,gmem_priv_gather,666.79,1,1,666.7;666.9;666.8
even,65536,powerlaw:0.5,gmem_priv_gather,564.28,1,1,564.2;564.3;564.3
even,65536,stale_resident,gmem_priv_gather,398.44,1,1,398.5;398.3;398.4
even,65536,concentrated:0.0,priv_cuckoo,1695.62,1,1,1695.6;1696.7;1695.0
even,65536,hash_synonym,priv_cuckoo,706.45,1,1,706.5;706.4;689.1
even,65536,powerlaw:0.5,priv_cuckoo,592.51,1,1,582.2;592.5;592.6
even,65536,stale_resident,priv_cuckoo,414.82,1,1,414.8;414.8;414.9
even,65536,concentrated:0.0,priv_single_probe,1695.46,1,1,1695.5;1696.1;1695.3
even,65536,hash_synonym,priv_single_probe,706.31,1,1,706.3;706.4;688.0
even,65536,powerlaw:0.5,priv_single_probe,592.29,1,1,592.3;592.7;592.2
even,65536,stale_resident,priv_single_probe,414.80,1,1,414.8;414.9;414.8
even,262144,concentrated:0.0,default,1912.72,1,0,1912.7;1913.6;1911.0
even,262144,hash_synonym,default,497.54,1,0,497.6;497.5;497.5
even,262144,powerlaw:0.5,default,673.22,1,0,673.2;672.8;673.5
even,262144,stale_resident,default,449.89,1,0,449.7;450.2;449.9
even,262144,concentrated:0.0,hybrid,1912.83,1,0,1913.3;1912.8;1912.8
even,262144,hash_synonym,hybrid,497.50,1,0,497.4;497.5;497.8
even,262144,powerlaw:0.5,hybrid,673.16,1,0,672.8;673.2;673.8
even,262144,stale_resident,hybrid,450.02,1,0,449.9;450.0;450.0
even,262144,concentrated:0.0,direct_cuckoo,1928.76,1,1,1928.1;1928.8;1928.8
even,262144,hash_synonym,direct_cuckoo,617.25,1,1,617.3;617.2;617.2
even,262144,powerlaw:0.5,direct_cuckoo,569.97,1,1,570.1;570.0;569.9
even,262144,stale_resident,direct_cuckoo,493.59,1,1,493.7;493.1;493.6
even,262144,concentrated:0.0,direct_single_probe,1929.22,1,1,1928.9;1929.7;1929.2
even,262144,hash_synonym,direct_single_probe,617.22,1,1,617.2;617.2;617.3
even,262144,powerlaw:0.5,direct_single_probe,570.26,1,1,569.6;570.4;570.3
even,262144,stale_resident,direct_single_probe,493.43,1,1,493.4;493.0;493.7
even,262144,concentrated:0.0,gmem_priv_gather,1061.84,1,1,1062.0;1061.8;1060.9
even,262144,hash_synonym,gmem_priv_gather,346.94,1,1,346.5;347.3;346.9
even,262144,powerlaw:0.5,gmem_priv_gather,399.20,1,1,399.2;419.1;399.1
even,262144,stale_resident,gmem_priv_gather,361.89,1,1,361.9;361.8;362.1
even,262144,concentrated:0.0,priv_cuckoo,826.32,1,1,827.8;826.3;825.4
even,262144,hash_synonym,priv_cuckoo,311.59,1,1,311.6;311.8;311.4
even,262144,powerlaw:0.5,priv_cuckoo,359.63,1,1,359.6;359.8;359.6
even,262144,stale_resident,priv_cuckoo,338.77,1,1,338.7;338.8;338.9
even,262144,concentrated:0.0,priv_single_probe,826.83,1,1,826.8;828.6;826.8
even,262144,hash_synonym,priv_single_probe,311.83,1,1,311.8;311.9;311.8
even,262144,powerlaw:0.5,priv_single_probe,359.47,1,1,359.6;359.5;359.5
even,262144,stale_resident,priv_single_probe,338.85,1,1,338.8;338.9;338.9
even,1048576,concentrated:0.0,default,1944.31,1,1,1944.3;1943.2;1944.8
even,1048576,hash_synonym,default,623.22,1,1,623.1;623.3;623.2
even,1048576,powerlaw:0.5,default,548.92,1,1,548.8;548.9;549.0
even,1048576,stale_resident,default,496.28,1,1,496.4;496.2;496.3
even,1048576,concentrated:0.0,hybrid,896.52,1,0,895.1;896.5;896.6
even,1048576,hash_synonym,hybrid,325.24,1,0,324.7;325.6;325.2
even,1048576,powerlaw:0.5,hybrid,371.27,1,0,371.3;371.1;371.3
even,1048576,stale_resident,hybrid,390.64,1,0,390.6;390.9;390.2
even,1048576,concentrated:0.0,direct_cuckoo,1944.36,1,1,1944.5;1944.4;1944.0
even,1048576,hash_synonym,direct_cuckoo,623.12,1,1,623.1;623.2;623.0
even,1048576,powerlaw:0.5,direct_cuckoo,548.88,1,1,548.6;549.0;548.9
