binary,bins,shape,algo,gibps_median,exit_ok,direct_ran,runs
even,1048576,stale_resident,direct_single_probe,496.35,1,1,496.3;496.5;496.3
even,1048576,concentrated:0.0,gmem_privatized_cuckoo,470.82,1,1,470.8;470.9;470.5
even,1048576,hash_synonym,gmem_privatized_cuckoo,271.20,1,1,271.2;271.0;271.2
even,1048576,powerlaw:0.5,gmem_privatized_cuckoo,270.39,1,1,270.3;270.4;270.6
even,1048576,stale_resident,gmem_privatized_cuckoo,267.94,1,1,268.0;267.9;267.9
even,1048576,concentrated:0.0,gmem_privatized_single_probe,470.34,1,1,470.4;470.3;469.7
even,1048576,hash_synonym,gmem_privatized_single_probe,273.47,1,1,273.5;273.5;273.5
even,1048576,powerlaw:0.5,gmem_privatized_single_probe,275.03,1,1,275.1;274.8;275.0
even,1048576,stale_resident,gmem_privatized_single_probe,272.09,1,1,272.1;272.1;272.2
range,65536,concentrated:0.0,default,1170.40,1,0,1170.9;1169.5;1170.4
range,65536,hash_synonym,default,482.81,1,0,482.5;482.8;483.0
range,65536,powerlaw:0.5,default,696.16,1,0,696.2;695.9;696.3
range,65536,stale_resident,default,523.19,1,0,523.2;523.4;523.1
range,65536,concentrated:0.0,gmem_privatized_nocache,1170.47,1,0,1170.7;1170.4;1170.5
range,65536,hash_synonym,gmem_privatized_nocache,483.07,1,0,483.1;482.9;483.1
range,65536,powerlaw:0.5,gmem_privatized_nocache,696.02,1,0,696.0;695.1;696.1
range,65536,stale_resident,gmem_privatized_nocache,523.16,1,0,522.8;523.2;523.3
range,65536,concentrated:0.0,direct_cuckoo,1920.32,1,1,1920.4;1920.2;1920.3
range,65536,hash_synonym,direct_cuckoo,552.12,1,1,552.1;552.1;553.0
range,65536,powerlaw:0.5,direct_cuckoo,469.35,1,1,469.3;469.3;469.4
range,65536,stale_resident,direct_cuckoo,444.17,1,1,444.2;444.2;443.9
range,65536,concentrated:0.0,direct_single_probe,1880.46,1,1,1880.5;1880.5;1879.8
range,65536,hash_synonym,direct_single_probe,579.85,1,1,579.8;579.8;580.0
range,65536,powerlaw:0.5,direct_single_probe,496.17,1,1,496.4;496.1;496.2
range,65536,stale_resident,direct_single_probe,454.70,1,1,454.7;454.7;455.0
range,65536,concentrated:0.0,gmem_privatized_cuckoo,1116.96,1,1,1117.2;1116.8;1117.0
range,65536,hash_synonym,gmem_privatized_cuckoo,461.02,1,1,461.3;460.5;461.0
range,65536,powerlaw:0.5,gmem_privatized_cuckoo,424.10,1,1,424.4;424.1;424.0
range,65536,stale_resident,gmem_privatized_cuckoo,367.65,1,1,367.7;367.6;367.8
range,65536,concentrated:0.0,gmem_privatized_single_probe,1121.84,1,1,1121.8;1122.0;1121.8
range,65536,hash_synonym,gmem_privatized_single_probe,492.54,1,1,492.7;492.4;492.5
range,65536,powerlaw:0.5,gmem_privatized_single_probe,465.71,1,1,466.1;465.6;465.7
range,65536,stale_resident,gmem_privatized_single_probe,397.64,1,1,397.5;397.6;397.9
range,262144,concentrated:0.0,default,1883.35,1,1,1883.4;1883.2;1883.8
range,262144,hash_synonym,default,470.46,1,1,470.5;470.7;470.3
range,262144,powerlaw:0.5,default,464.41,1,1,464.4;464.4;464.5
range,262144,stale_resident,default,455.88,1,1,455.9;456.1;455.8
range,262144,concentrated:0.0,gmem_privatized_nocache,999.52,1,0,999.5;999.0;999.6
range,262144,hash_synonym,gmem_privatized_nocache,354.61,1,0,354.4;354.6;357.4
range,262144,powerlaw:0.5,gmem_privatized_nocache,524.94,1,0,524.8;524.9;538.1
range,262144,stale_resident,gmem_privatized_nocache,477.50,1,0,477.5;477.2;485.1
range,262144,concentrated:0.0,direct_cuckoo,1883.65,1,1,1882.5;1883.7;1883.7
range,262144,hash_synonym,direct_cuckoo,470.86,1,1,471.4;470.9;470.5
range,262144,powerlaw:0.5,direct_cuckoo,464.47,1,1,464.7;464.2;464.5
range,262144,stale_resident,direct_cuckoo,455.76,1,1,456.0;455.7;455.8
range,262144,concentrated:0.0,direct_single_probe,1883.70,1,1,1884.5;1883.7;1883.7
range,262144,hash_synonym,direct_single_probe,470.55,1,1,470.3;471.3;470.6
range,262144,powerlaw:0.5,direct_single_probe,464.63,1,1,464.6;464.2;464.9
range,262144,stale_resident,direct_single_probe,455.49,1,1,455.5;455.4;455.7
range,262144,concentrated:0.0,gmem_privatized_cuckoo,855.89,1,1,856.1;855.4;855.9
range,262144,hash_synonym,gmem_privatized_cuckoo,347.53,1,1,347.5;347.5;347.8
